transaction_id,date,time,payment_app,transaction_type,category,amount_inr,sender_bank,receiver_bank,device_type,network_type,city,status,failure_reason,retry_attempted,response_time_ms
UPI2025000001,2025-09-06,07:47:17,Google Pay,P2P,Peer Transfer,193.52,ICICI Bank,IDBI Bank,Android,5G,Patiala,FAILED,Insufficient Balance,Yes,4031
UPI2025000002,2025-08-22,02:12:45,Paytm,P2P,Peer Transfer,4397.79,Union Bank of India,Kotak Mahindra Bank,Android,WiFi,Ludhiana,SUCCESS,N/A,N/A,1589
UPI2025000003,2025-03-04,17:21:17,Google Pay,P2P,Peer Transfer,20.09,Bank of Baroda,HDFC Bank,Android,WiFi,Hyderabad,SUCCESS,N/A,N/A,1382
UPI2025000004,2025-10-11,13:07:59,PhonePe,P2M,Peer Transfer,159.08,Union Bank of India,Punjab National Bank,iOS,4G,Jalandhar,SUCCESS,N/A,N/A,1380
UPI2025000005,2025-01-18,17:49:18,CRED,P2P,Peer Transfer,309.81,Axis Bank,HDFC Bank,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,3119
UPI2025000006,2025-03-23,17:44:59,Paytm,P2M,Education Fee,107.84,HDFC Bank,IndusInd Bank,Android,4G,Jaipur,SUCCESS,N/A,N/A,1596
UPI2025000007,2025-12-26,16:35:14,Paytm,P2M,Medical/Pharmacy,7927.32,SBI,Axis Bank,Android,4G,Kolkata,FAILED,Beneficiary Bank Server Down,No,3298
UPI2025000008,2025-09-07,13:16:08,Google Pay,P2P,Peer Transfer,345.27,Union Bank of India,Union Bank of India,Android,WiFi,Jaipur,SUCCESS,N/A,N/A,1537
UPI2025000009,2025-02-23,14:05:48,Google Pay,P2M,Utility Bill,4591.94,HDFC Bank,ICICI Bank,Android,4G,Jaipur,SUCCESS,N/A,N/A,1987
UPI2025000010,2025-07-01,15:35:55,WhatsApp Pay,P2P,Peer Transfer,1331.85,Yes Bank,IDBI Bank,iOS,WiFi,Kolkata,FAILED,Bank Server Down,Yes,580
UPI2025000011,2025-10-08,20:16:32,Paytm,P2M,Fuel,31905.5,Union Bank of India,HDFC Bank,iOS,5G,Jalandhar,FAILED,Invalid VPA / Beneficiary Not Found,Yes,4268
UPI2025000012,2025-10-30,21:58:00,PhonePe,P2P,Peer Transfer,200.45,Canara Bank,SBI,Android,3G,Ahmedabad,SUCCESS,N/A,N/A,1529
UPI2025000013,2025-04-04,20:05:05,Paytm,P2M,Recharge/Bill Payment,2942.13,HDFC Bank,Union Bank of India,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,1190
UPI2025000014,2025-12-05,16:13:59,PhonePe,P2P,Peer Transfer,4169.58,IDBI Bank,IDBI Bank,Android,3G,Lucknow,SUCCESS,N/A,N/A,2350
UPI2025000015,2025-07-21,13:15:14,Google Pay,P2M,Peer Transfer,387.92,SBI,IndusInd Bank,Android,4G,Delhi,SUCCESS,N/A,N/A,2098
UPI2025000016,2025-12-18,03:21:04,PhonePe,P2P,Peer Transfer,172.14,Punjab National Bank,Yes Bank,Android,5G,Noida,SUCCESS,N/A,N/A,2677
UPI2025000017,2025-07-03,19:12:06,Google Pay,P2P,Peer Transfer,367.51,Kotak Mahindra Bank,Bank of Baroda,Android,5G,Bengaluru,FAILED,Invalid VPA / Beneficiary Not Found,No,5223
UPI2025000018,2025-02-12,10:12:34,PhonePe,P2P,Peer Transfer,382.78,Kotak Mahindra Bank,ICICI Bank,Android,WiFi,Chennai,SUCCESS,N/A,N/A,1219
UPI2025000019,2025-11-29,15:03:41,CRED,P2M,E-commerce,266.14,SBI,HDFC Bank,Android,5G,Jalandhar,SUCCESS,N/A,N/A,1878
UPI2025000020,2025-12-17,05:24:00,CRED,P2P,Peer Transfer,164.03,Punjab National Bank,Canara Bank,Android,5G,Bhopal,SUCCESS,N/A,N/A,1530
UPI2025000021,2025-07-09,08:18:13,WhatsApp Pay,P2P,Peer Transfer,211.09,IndusInd Bank,IDBI Bank,Android,4G,Noida,SUCCESS,N/A,N/A,1072
UPI2025000022,2025-11-28,15:03:32,Google Pay,P2M,Utility Bill,4136.54,ICICI Bank,HDFC Bank,iOS,4G,Pune,SUCCESS,N/A,N/A,1348
UPI2025000023,2025-01-16,16:26:42,PhonePe,P2M,E-commerce,403.8,Union Bank of India,Bank of Baroda,Android,4G,Hyderabad,SUCCESS,N/A,N/A,1168
UPI2025000024,2025-09-18,17:29:20,Amazon Pay,P2P,Peer Transfer,2421.99,HDFC Bank,SBI,iOS,3G,Mumbai,SUCCESS,N/A,N/A,1505
UPI2025000025,2025-07-16,10:59:22,Amazon Pay,P2P,Peer Transfer,13.41,Axis Bank,Bank of Baroda,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,1491
UPI2025000026,2025-11-10,17:00:42,BHIM,P2P,Peer Transfer,1954.41,Punjab National Bank,Yes Bank,iOS,4G,Bengaluru,SUCCESS,N/A,N/A,1077
UPI2025000027,2025-03-02,10:38:13,Paytm,P2M,Fuel,188.18,Axis Bank,Yes Bank,Android,4G,Delhi,FAILED,Bank Server Down,Yes,662
UPI2025000028,2025-01-02,11:08:40,CRED,P2P,Peer Transfer,149.57,ICICI Bank,IDBI Bank,Android,5G,Bengaluru,FAILED,NPCI Server Error,No,4446
UPI2025000029,2025-07-31,04:23:37,PhonePe,P2P,Peer Transfer,35.22,Kotak Mahindra Bank,ICICI Bank,Android,WiFi,Delhi,SUCCESS,N/A,N/A,1768
UPI2025000030,2025-03-23,17:42:06,PhonePe,P2M,Rent,1589.25,Union Bank of India,Kotak Mahindra Bank,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,748
UPI2025000031,2025-11-11,09:26:01,Google Pay,P2M,Rent,3776.97,Bank of Baroda,Kotak Mahindra Bank,Android,4G,Bengaluru,SUCCESS,N/A,N/A,2328
UPI2025000032,2025-01-16,19:14:12,BHIM,P2P,Peer Transfer,54.24,Canara Bank,Bank of Baroda,Android,4G,Ludhiana,SUCCESS,N/A,N/A,3771
UPI2025000033,2025-06-04,11:55:04,WhatsApp Pay,P2M,Travel,29.98,Punjab National Bank,Bank of Baroda,Android,WiFi,Kolkata,SUCCESS,N/A,N/A,404
UPI2025000034,2025-02-14,20:16:11,PhonePe,P2P,Peer Transfer,326.13,Punjab National Bank,SBI,Android,5G,Kolkata,SUCCESS,N/A,N/A,1861
UPI2025000035,2025-07-18,07:57:36,Google Pay,P2P,Peer Transfer,469.0,SBI,IDBI Bank,Android,WiFi,Jalandhar,SUCCESS,N/A,N/A,2532
UPI2025000036,2025-01-28,21:58:21,Paytm,P2M,Fuel,410.44,Yes Bank,HDFC Bank,Android,5G,Kolkata,SUCCESS,N/A,N/A,692
UPI2025000037,2025-04-25,15:12:26,Paytm,P2M,Recharge/Bill Payment,4537.47,Kotak Mahindra Bank,Yes Bank,Android,4G,Bhopal,SUCCESS,N/A,N/A,686
UPI2025000038,2025-04-29,11:27:50,PhonePe,P2P,Peer Transfer,4537.0,Yes Bank,Bank of Baroda,Android,4G,Noida,SUCCESS,N/A,N/A,611
UPI2025000039,2025-11-06,18:42:05,Google Pay,P2M,Food Delivery,878.63,Yes Bank,Yes Bank,Android,WiFi,Ahmedabad,SUCCESS,N/A,N/A,2063
UPI2025000040,2025-03-19,08:02:15,CRED,P2P,Peer Transfer,1223.64,IndusInd Bank,HDFC Bank,iOS,5G,Jaipur,SUCCESS,N/A,N/A,1157
UPI2025000041,2025-04-05,08:44:00,Amazon Pay,P2P,Peer Transfer,329.46,HDFC Bank,Kotak Mahindra Bank,Android,5G,Chennai,FAILED,Incorrect UPI PIN,No,6817
UPI2025000042,2025-06-27,08:29:42,PhonePe,P2P,Peer Transfer,328.32,Union Bank of India,IndusInd Bank,Android,4G,Gurugram,SUCCESS,N/A,N/A,1061
UPI2025000043,2025-12-19,15:57:10,Paytm,P2P,Peer Transfer,55.9,Canara Bank,Canara Bank,Android,5G,Gurugram,SUCCESS,N/A,N/A,1730
UPI2025000044,2025-04-03,10:04:45,Google Pay,P2P,Peer Transfer,447.1,Punjab National Bank,Bank of Baroda,Android,4G,Pune,SUCCESS,N/A,N/A,2107
UPI2025000045,2025-03-01,17:04:26,PhonePe,P2P,Peer Transfer,2716.33,Union Bank of India,Canara Bank,Android,4G,Ludhiana,SUCCESS,N/A,N/A,836
UPI2025000046,2025-10-25,15:30:00,WhatsApp Pay,P2M,Travel,470.82,Punjab National Bank,Kotak Mahindra Bank,Android,5G,Pune,SUCCESS,N/A,N/A,2234
UPI2025000047,2025-04-16,13:01:24,PhonePe,P2M,Entertainment,24268.29,Yes Bank,Kotak Mahindra Bank,iOS,3G,Bhopal,FAILED,Bank Server Down,No,2806
UPI2025000048,2025-01-11,06:27:08,BHIM,P2P,Peer Transfer,427.06,ICICI Bank,SBI,Android,5G,Kolkata,SUCCESS,N/A,N/A,436
UPI2025000049,2025-05-28,11:53:26,Google Pay,P2P,Peer Transfer,468.72,HDFC Bank,Canara Bank,Android,3G,Lucknow,SUCCESS,N/A,N/A,1852
UPI2025000050,2025-01-27,18:41:02,Paytm,P2M,Peer Transfer,3833.46,Axis Bank,Axis Bank,Android,4G,Bengaluru,SUCCESS,N/A,N/A,771
